F0_183	Bacteria/Abiotrophia_defectiva_ATCC_49176_uid55729.fna
F10_6	Bacteria/Acidobacterium_MP5ACTX8_uid49957.fna
F11_13	Bacteria/Aciduliprofundum_boonei_T469_uid43333.fna
F12_612	Bacteria/Acinetobacter_6013113_uid47501.fna
F13_275	Bacteria/Actinomyces_coleocanis_DSM_15436_uid55457.fna
F14_627	Bacteria/Aerococcus_urinae_ACS_120_V_Col10a_uid64757.fna
F15_227	Bacteria/Ahrensia_R2A130_uid51717.fna
F16_3	Bacteria/Akkermansia_muciniphila_ATCC_BAA_835_uid58985.fna
F1_64	Bacteria/Acaryochloris_marina_MBIC11017_uid58167.fna
F17_72	Bacteria/Algoriphagus_PR1_uid54611.fna
F18_107	Bacteria/Alicyclobacillus_acidocaldarius_DSM_446_uid59199.fna
F19_99	Bacteria/Alistipes_HGB5_uid67587.fna
F20_9	Bacteria/Aminobacterium_colombiense_DSM_12261_uid47083.fna
F21_2	Bacteria/Anaerolinea_thermophila_UNI_1_uid62245.fna
F22_26	Bacteria/Anaplasma_centrale_Israel_uid42155.fna
F23_11	Bacteria/Aquifex_aeolicus_VF5_uid57765.fna
F2_321	Bacteria/Acetobacter_aceti_NBRC_14818_uid70715.fna
F24_8	Bacteria/Archaeoglobus_fulgidus_DSM_4304_uid57717.fna
F25_107	Bacteria/Arcobacter_butzleri_JV22_uid61483.fna
F26_20	Bacteria/Atopobium_parvulum_DSM_20469_uid59195.fna
F27_1	Bacteria/Bdellovibrio_bacteriovorus_HD100_uid61595.fna
F28_220	Bacteria/Beggiatoa_PS_uid54597.fna
F29_24	Bacteria/Bilophila_wadsworthia_3_1_6_uid61875.fna
F30_6	Bacteria/Blastopirellula_marina_DSM_3645_uid54189.fna
F31_69	Bacteria/Borrelia_SV1_uid55065.fna
F32_94	Bacteria/Brachyspira_hyodysenteriae_WA1_uid59291.fna
F33_70	Bacteria/Calditerrivibrio_nitroreducens_DSM_19672_uid60821.fna
F34_11	Bacteria/Caldivirga_maquilingensis_IC_167_uid58711.fna
F3_422	Bacteria/Acetohalobium_arabaticum_DSM_5501_uid51423.fna
F35_52	Bacteria/Campylobacter_jejuni_BH_01_0142_uid54981.fna
F36_2	Bacteria/Candidatus_Chloracidobacterium_thermophilum_B_uid73587.fna
F37_5	Bacteria/Candidatus_Cloacamonas_acidaminovorans_uid62959.fna
